Date,Invoice No,Item Code,Item Name,Quantity Sold,Unit Price,Total Sale Value,Customer ID,Salesperson,Channel
1/6/2025,000001,000005,Apricots - 1 Kg Pack,3,1900,5700,000002,Sarah,Retail 
1/6/2025,000001,000001,Raisin - 1Kg Pack,3,1500,4500,000002,Sarah,Retail 
1/6/2025,000001,000015,Paper board 20x30,2,2900,5800,000002,Sarah,Retail 
1/6/2025,000001,000003,Fig - 1Kg Pack,2,1700,3400,000002,Sarah,Retail 
1/6/2025,000001,000002,Peach - 1 KG Pack,4,1600,6400,000002,Sarah,Retail 
1/6/2025,000001,000004,Dates - 1 Kg Pack,10,1800,18000,000002,Sarah,Wholesales
1/6/2025,000001,000007,Café Mocha - 1 Pack Ready Mix,6,2100,12600,000002,Sarah,Wholesales
1/6/2025,000001,000006,Pear - 2Kg Pack,5,2000,10000,000002,Sarah,Wholesales
15/01/2025,000002,000005,Apricots - 1 Kg Pack,3,1900,5700,000014,Sarah,Retail 
15/01/2025,000002,000001,Raisin - 1Kg Pack,3,1500,4500,000014,Sarah,Retail 
15/01/2025,000002,000015,Paper board 20x30,2,2900,5800,000014,Sarah,Retail 
15/01/2025,000002,000003,Fig - 1Kg Pack,5,1700,8500,000014,Sarah,Retail 
15/01/2025,000002,000002,Peach - 1 KG Pack,4,1600,6400,000014,Sarah,Wholesales
15/01/2025,000002,000004,Dates - 1 Kg Pack,10,1800,18000,000014,Sarah,Wholesales
15/01/2025,000002,000007,Café Mocha - 1 Pack Ready Mix,10,2100,21000,000014,Sarah,Wholesales
15/01/2025,000002,000006,Pear - 2Kg Pack,5,2000,10000,000014,Sarah,Wholesales
15/01/2025,000003,000035,Iphone 11,2,1800,3600,000225,Sarah,Wholesales
17/01/2025,000004,000039,Repair Aircon/Phone Income - with Spare Parts,1,700000,700000,000010,Sarah,Retail 
17/01/2025,000004,000035,Iphone 11,1,2000000,2000000,000010,Sarah,Retail 
17/01/2025,000004,000067,"Samsung Smart TV 40""",10,600000,6000000,000010,Sarah,Retail 
18/01/2025,000005,000039,Repair Aircon/Phone Income - with Spare Parts,1,700000,700000,000010,Sarah,Retail 
18/01/2025,000005,000012,Speed Energy Drink 6 in 1 Pack,1,2600,2600,000010,Sarah,Retail 
18/01/2025,000005,000009,Rose Latte - 1 Pack Ready Mix,1,2300,2300,000010,Sarah,Retail 
18/01/2025,000005,000035,Iphone 11,2,2000000,4000000,000010,Sarah,Retail 
18/01/2025,000005,000067,"Samsung Smart TV 40""",10,600000,6000000,000010,Sarah,Retail 
19/01/2025,000006,000039,Repair Aircon/Phone Income - with Spare Parts,1,608.7,608.7,000225,Sarah,Retail 
19/01/2025,000006,000035,Iphone 11,1,1739.13,1739.13,000225,Sarah,Wholesales
19/01/2025,000006,000067,"Samsung Smart TV 40""",10,521.74,5217.4,000225,Sarah,Wholesales
19/01/2025,000007,,Sales,1,500000,500000,000010,Sarah,Wholesales
19/01/2025,000007,000039,Repair Aircon/Phone Income - with Spare Parts,1,700000,700000,000010,Sarah,Wholesales
19/01/2025,000007,000035,Iphone 11,1,2000000,2000000,000010,Sarah,Retail 
19/01/2025,000007,000067,"Samsung Smart TV 40""",10,600000,6000000,000010,Sarah,Retail 
20/01/2025,000008,000005,Apricots - 1 Kg Pack,3,1900,5700,000014,Sarah,Retail 
20/01/2025,000008,000001,Raisin - 1Kg Pack,3,1500,4500,000014,Sarah,Retail 
20/01/2025,000008,000015,Paper board 20x30,2,2900,5800,000014,Sarah,Retail 
20/01/2025,000008,000003,Fig - 1Kg Pack,2,1700,3400,000014,Sarah,Retail 
20/01/2025,000008,000002,Peach - 1 KG Pack,4,1600,6400,000014,Sarah,Retail 
20/01/2025,000008,000004,Dates - 1 Kg Pack,10,1800,18000,000014,Sarah,Retail 
20/01/2025,000008,000007,Café Mocha - 1 Pack Ready Mix,6,2100,12600,000014,Sarah,Retail 
20/01/2025,000008,000006,Pear - 2Kg Pack,5,2000,10000,000014,Sarah,Wholesales
21/01/2025,000009,,Sales for January,1,10000000,10000000,000015,Sarah,Wholesales
22/01/2025,000010,,Retail sales for Janurary,1,20000000,20000000,000162,Sarah,Wholesales
31/01/2025,000055,,retail sales for may,2,10250000,20500000,000191,Sarah,Wholesales
31/01/2025,000055,,whole sales for may,2,10500000,21000000,000191,Sarah,Retail 
31/01/2025,000055,,trading for may,2,13000000,26000000,000191,Sarah,Retail 
31/01/2025,000070,,iphone 12 pro for January batch,10,2000,20000,000226,Sarah,Retail 
2/2/2025,000011,,Retail sales for Feb,1,10000000,10000000,000077,Sarah,Retail 
2/2/2025,000011,,Wholesales for Feb,1,20000000,20000000,000077,Sarah,Retail 
2/2/2025,000011,,Trading for Feb,1,30000000,30000000,000077,Sarah,Retail 
2/4/2025,000012,000005,Apricots - 1 Kg Pack,3,1900,5700,000019,Sarah,Retail 
2/4/2025,000012,000001,Raisin - 1Kg Pack,3,1500,4500,000019,Sarah,Retail 
2/4/2025,000012,000015,Paper board 20x30,2,2900,5800,000019,Sarah,Retail 
2/4/2025,000012,000003,Fig - 1Kg Pack,2,1700,3400,000019,Sarah,Wholesales
2/4/2025,000012,000002,Peach - 1 KG Pack,4,1600,6400,000019,Sarah,Wholesales
2/4/2025,000012,000004,Dates - 1 Kg Pack,10,1800,18000,000019,Sarah,Wholesales
2/4/2025,000012,000007,Café Mocha - 1 Pack Ready Mix,6,2100,12600,000019,Sarah,Wholesales
2/4/2025,000012,000006,Pear - 2Kg Pack,5,2000,10000,000019,Sarah,Retail 
2/5/2025,000027,000005,Apricots - 1 Kg Pack,10,1900,19000,000077,Sarah,Retail 
15/02/2025,000060,000036,Phone Cover,50,5000,250000,000216,Sarah,Retail 
15/02/2025,000060,000016,Oramin-C,50,50000,2500000,000216,Sarah,Retail 
15/02/2025,000060,000019,ZALORA Dress,50,80000,4000000,000216,Sarah,Retail 
15/02/2025,000060,000008,Hot Chocolate - 1 Pack Ready Mix,50,2200,110000,000216,Sarah,Retail 
15/02/2025,000060,000066,Honda cycle spare part,50,80000,4000000,000216,Sarah,Retail 
15/02/2025,000060,000051,Heavy Duty Non Inverter 5.2 HP,50,6500,325000,000216,Sarah,Retail 
15/02/2025,000090,000001,Raisin - 1Kg Pack,1,1500,1500,000229,Sarah,Retail 
15/02/2025,000090,000002,Peach - 1 KG Pack,1,1600,1600,000229,Sarah,Wholesales
17/02/2025,000033,000005,Apricots - 1 Kg Pack,2,1900,3800,000011,Sarah,Wholesales
17/02/2025,000033,000002,Peach - 1 KG Pack,5,1600,8000,000011,Sarah,Wholesales
17/02/2025,000047,000066,Honda cycle spare part,1,80000,80000,000171,Sarah,Wholesales
24/02/2025,000030,000011,Shark - 6 IN 1 PACK,1,2500,2500,000209,Sarah,Retail 
24/02/2025,000030,000008,Hot Chocolate - 1 Pack Ready Mix,1,2200,2200,000209,Sarah,Retail 
24/02/2025,000034,000005,Apricots - 1 Kg Pack,2,1900,3800,000222,Sarah,Retail 
24/02/2025,000034,000002,Peach - 1 KG Pack,5,1600,8000,000222,Sarah,Retail 
25/02/2025,000039,000005,Apricots - 1 Kg Pack,2,1900,3800,000004,Sarah,Retail 
25/02/2025,000039,000002,Peach - 1 KG Pack,5,1600,8000,000004,Sarah,Retail 
28/02/2025,000051,,trading for feb,1,1300000,1300000,000047,Sarah,Retail 
28/02/2025,000051,,retail sales for feb,1,1025000,1025000,000047,Sarah,Retail 
28/02/2025,000051,,whole sales for feb,1,5000000,5000000,000047,Sarah,Retail 
28/02/2025,000052,,trading for may,1,13000000,13000000,000024,Sarah,Wholesales
28/02/2025,000052,,retail sales for may,1,10250000,10250000,000024,Sarah,Wholesales
28/02/2025,000052,,whole sales for may,1,10500000,10500000,000024,Sarah,Wholesales
28/02/2025,000058,,retail sales for may,3,1020000,3060000,000144,Sarah,Wholesales
28/02/2025,000058,,whole sales for may,5,1050000,5250000,000144,Sarah,Retail 
28/02/2025,000058,,trading for may,2,1300000,2600000,000144,Sarah,Retail 
3/2/2025,000015,,trading for April,1,20000,20000,000226,Sarah,Retail 
3/2/2025,000015,,whole sales for April,1,10000,10000,000226,Sarah,Retail 
3/6/2025,000018,,whole sales for may,1,9000000,9000000,000017,Sarah,Retail 
3/7/2025,000037,000005,Apricots - 1 Kg Pack,2,1900,3800,000188,Sarah,Retail 
3/7/2025,000037,000002,Peach - 1 KG Pack,5,1600,8000,000188,Sarah,Retail 
3/8/2025,000053,,retail sales for may,1,10250000,10250000,000209,Sarah,Retail 
3/8/2025,000053,,whole sales for may,1,10500000,10500000,000209,Sarah,Retail 
3/8/2025,000053,,trading for may,1,13000000,13000000,000209,Sarah,Wholesales
3/8/2025,000091,000001,Raisin - 1Kg Pack ,3,2000,6000,000191,Sarah,Wholesales
3/8/2025,000091,000002,Peach - 1 KG Pack,10,1600,16000,000191,Sarah,Wholesales
3/8/2025,000092,000009,Rose Latte - 1 Pack Ready Mix,1,1.18,1.18,000227,Sarah,Wholesales
3/8/2025,000092,000015,Paper board 20x30,1,1.49,1.49,000227,Sarah,Retail 
3/8/2025,000092,000013,Pepsi - 6 pcs in 1 pack,1,1.38,1.38,000227,Sarah,Retail 
3/8/2025,000092,000007,Café Mocha - 1 Pack Ready Mix,1,1.08,1.08,000227,Sarah,Retail 
3/8/2025,000092,000014,Cola - 6 pcs in 1 Pack,1,1.44,1.44,000227,Sarah,Retail 
3/8/2025,000092,000010,Espresso - 1 Pack Ready Mix,1,1.23,1.23,000227,Sarah,Retail 
14/03/2025,000022,,retail for april,1,5000000,5000000,000013,Sarah,Retail 
15/03/2025,000063,000036,Phone Cover,1,500000,500000,000216,Sarah,Retail 
15/03/2025,000063,000016,Oramin-C,1,500000,500000,000216,Sarah,Retail 
15/03/2025,000063,000019,ZALORA Dress,1,800000,800000,000216,Sarah,Retail 
15/03/2025,000063,000008,Hot Chocolate - 1 Pack Ready Mix,1,800000,800000,000216,Sarah,Wholesales
16/03/2025,000040,000005,Apricots - 1 Kg Pack,2,1900,3800,000025,Sarah,Wholesales
16/03/2025,000040,000002,Peach - 1 KG Pack,5,1600,8000,000025,Sarah,Wholesales
20/03/2025,000031,000015,Paper board 20x30,1,2900,2900,000209,Sarah,Wholesales
20/03/2025,000031,000002,Peach - 1 KG Pack,1,1600,1600,000209,Sarah,Wholesales
20/03/2025,000031,000007,Café Mocha - 1 Pack Ready Mix,1,2100,2100,000209,Sarah,Wholesales
24/03/2025,000067,000036,Phone Cover,20,35000,700000,000160,Sarah,Wholesales
24/03/2025,000067,000016,Oramin-C 20 carter,20,500000,10000000,000160,Sarah,Wholesales
28/03/2025,000025,,wholesales for april,1,3000000,3000000,000009,Bob,Wholesales
30/03/2025,000069,,Medicine set for health care,500,120000,60000000,000156,Sarah,Wholesales
4/1/2025,000013,,retail sales for march,1,15000,15000,000225,Sarah,Wholesales
4/1/2025,000013,,whole sales for march,1,10000,10000,000225,Sarah,Wholesales
4/3/2025,000028,000014,Cola - 6 pcs in 1 Pack,10,2800,28000,000077,Sarah,Wholesales
4/4/2025,000050,000071,"SONY LED TV50""",1,800000,800000,000150,Sarah,Wholesales
4/9/2025,000035,000005,Apricots - 1 Kg Pack,2,1900,3800,000207,Sarah,Wholesales
4/9/2025,000035,000002,Peach - 1 KG Pack,5,1600,8000,000207,Sarah,Wholesales
4/9/2025,000036,000005,Apricots - 1 Kg Pack,2,1900,3800,000188,Sarah,Wholesales
4/9/2025,000036,000002,Peach - 1 KG Pack,5,1600,8000,000188,Sarah,Wholesales
4/10/2025,000019,,retail sales for may,1,17250000,17250000,000209,Sarah,Wholesales
4/10/2025,000061,000036,Phone Cover,50,5000,250000,000216,Sarah,Wholesales
4/10/2025,000061,000016,Oramin-C,50,50000,2500000,000216,Sarah,Retail 
4/10/2025,000061,000019,ZALORA Dress,50,80000,4000000,000216,Sarah,Retail 
4/10/2025,000061,000008,Hot Chocolate - 1 Pack Ready Mix,1,22000,22000,000216,Sarah,Retail 
4/10/2025,000061,000066,Honda cycle spare part,50,80000,4000000,000216,Sarah,Retail 
4/10/2025,000061,000051,Heavy Duty Non Inverter 5.2 HP,50,65000,3250000,000216,Sarah,Wholesales
17/04/2025,000024,,trading for march,1,1500000,1500000,000012,Sarah,Wholesales
22/04/2025,000054,,retail sales for may,1,10250000,10250000,000060,Sarah,Wholesales
22/04/2025,000054,,whole sales for may,1,10500000,10500000,000060,Sarah,Wholesales
24/04/2025,000038,000005,Apricots - 1 Kg Pack,2,1900,3800,000007,Sarah,Wholesales
24/04/2025,000038,000002,Peach - 1 KG Pack,5,1600,8000,000007,Sarah,Wholesales
24/04/2025,000062,000036,Phone Cover,1,500000,500000,000216,Sarah,Wholesales
24/04/2025,000062,000016,Oramin-C,1,500000,500000,000216,Sarah,Wholesales
24/04/2025,000062,000019,ZALORA Dress,1,800000,800000,000216,Sarah,Wholesales
24/04/2025,000062,000008,Hot Chocolate - 1 Pack Ready Mix,1,800000,800000,000216,Sarah,Wholesales
24/04/2025,000062,000066,Honda cycle spare part,1,800000,800000,000216,Sarah,Wholesales
24/04/2025,000062,000051,Heavy Duty Non Inverter 5.2 HP,1,30000000,30000000,000216,Sarah,Wholesales
26/04/2025,000021,,trading for march,1,0,0,000015,Sarah,Wholesales
5/1/2025,000041,000015,Paper board 20x30,1,2900,2900,000214,Sarah,Wholesales
5/1/2025,000041,000004,Dates - 1 Kg Pack,1,1800,1800,000214,Sarah,Wholesales
5/2/2025,000045,000009,Rose Latte - 1 Pack Ready Mix,1,2300,2300,000193,Sarah,Retail 
5/2/2025,000045,000003,Fig - 1Kg Pack,1,1700,1700,000193,Sarah,Retail 
5/3/2025,000017,,retail sales for june,1,17250000,17250000,000188,Sarah,Retail 
5/3/2025,000017,,trading for june,1,23000000,23000000,000188,Sarah,Retail 
5/3/2025,000057,000005,Apricots - 1 Kg Pack,2,1900,3800,000017,Sarah,Retail 
5/3/2025,000057,000002,Peach - 1 KG Pack,5,1600,8000,000017,Sarah,Retail 
5/4/2025,000065,000019,ZALORA Dress,50,800000,40000000,000014,Sarah,Retail 
5/7/2025,000046,000012,Speed Energy Drink 6 in 1 Pack,1,2600,2600,000191,Sarah,Retail 
5/9/2025,000042,000006,Pear - 2Kg Pack,2,2000,4000,000217,Sarah,Retail 
5/9/2025,000043,000003,Fig - 1Kg Pack,1,1.48,1.48,000227,Sarah,Wholesales
5/10/2025,000026,,retail,1,2000000,2000000,000008,Sarah,Wholesales
5/11/2025,000076,000007,Café Mocha - 1 Pack Ready Mix,1,2100,2100,000224,Olivia,Wholesales
16/05/2025,000020,,whole sales,1,5000000,5000000,000005,Sarah,Wholesales
17/05/2025,000068,000036,Phone Cover,20,400000,8000000,000002,Sarah,Retail 
17/05/2025,000068,000016,Oramin-C,20,500000,10000000,000002,Sarah,Retail 
21/05/2025,000014,000005,Apricots - 1 Kg Pack,3,1.65,4.95,000226,Sarah,Retail 
21/05/2025,000014,000001,Raisin - 1Kg Pack,3,1.3,3.9,000226,Sarah,Retail 
21/05/2025,000014,000015,Paper board 20x30,2,2.52,5.04,000226,Sarah,Retail 
21/05/2025,000014,000003,Fig - 1Kg Pack,2,1.48,2.96,000226,Sarah,Retail 
21/05/2025,000014,000002,Peach - 1 KG Pack,4,1.39,5.56,000226,Sarah,Retail 
21/05/2025,000014,000004,Dates - 1 Kg Pack,10,1.57,15.7,000226,Sarah,Retail 
21/05/2025,000014,000007,Café Mocha - 1 Pack Ready Mix,6,1.83,10.98,000226,Sarah,Retail 
21/05/2025,000014,000006,Pear - 2Kg Pack,5,1.74,8.7,000226,Sarah,Retail 
21/05/2025,000023,,retail for june,1,1000000,1000000,000011,Sarah,Retail 
22/05/2025,000029,000011,Shark - 6 IN 1 PACK,1,2500,2500,000077,Sarah,Wholesales
22/05/2025,000029,000009,Rose Latte - 1 Pack Ready Mix,1,2300,2300,000077,Sarah,Wholesales
22/05/2025,000029,000002,Peach - 1 KG Pack,10,1600,16000,000077,Sarah,Wholesales
22/05/2025,000048,000005,Apricots - 1 Kg Pack,1,1900,1900,000045,Sarah,Wholesales
22/05/2025,000049,000004,Dates - 1 Kg Pack,1,1800,1800,000169,Sarah,Retail 
22/05/2025,000059,,pharmacy,1,3000000,3000000,000192,Sarah,Retail 
22/05/2025,000059,,spare part,1,1000000,1000000,000192,Sarah,Retail 
22/05/2025,000059,,machinery ,1,2000000,2000000,000192,Sarah,Retail 
22/05/2025,000059,,import goods,1,4000000,4000000,000192,Sarah,Retail 
22/05/2025,000059,,clothing,1,1000000,1000000,000192,Sarah,Retail 
22/05/2025,000059,,accessories,1,1000000,1000000,000192,Sarah,Wholesales
24/05/2025,000071,000003,Fig - 1Kg Pack,2,1700,3400,000224,Sarah,Wholesales
24/05/2025,000071,000008,Hot Chocolate - 1 Pack Ready Mix,5,2200,11000,000224,Sarah,Wholesales
24/05/2025,000071,000007,Café Mocha - 1 Pack Ready Mix,2,2100,4200,000224,Sarah,Retail 
24/05/2025,000072,000001,Raisin - 1Kg Pack,1,1.5,1.5,000228,Sarah,Retail 
24/05/2025,000072,000004,Dates - 1 Kg Pack,1,2,2,000228,Sarah,Retail 
26/05/2025,000073,000005,Apricots - 1 Kg Pack,1,30,30,000225,Sarah,Retail 
27/05/2025,000074,000001,Raisin - 1Kg Pack,10,1500,15000,000191,Sarah,Retail 
27/05/2025,000074,000010,Espresso - 1 Pack Ready Mix,5,2400,12000,000191,Sarah,Retail 
30/05/2025,000103,000001,Raisin - 1Kg Pack,1,23000,23000,000229,Sarah,Retail 
6/3/2025,000016,,whole sales for may,1,10500000,10500000,000209,Sarah,Retail 
6/3/2025,000016,,trading for may,1,13000000,13000000,000209,Sarah,Retail 
6/3/2025,000016,,retail sales for may,1,10250000,10250000,000209,Sarah,Wholesales
6/7/2025,000093,,sales,1,4000,4000,000003,Sarah,Wholesales
6/10/2025,000044,000020,G2000 Men Wear,2,90000,180000,000172,Sarah,Wholesales
6/10/2025,000066,000066,Honda cycle spare part,10,5200,52000,000225,Sarah,Retail 
17/06/2025,000104,000001,Raisin - 1Kg Pack,10,3600,36000,000030,Sarah,Retail 
17/06/2025,000105,000002,Peach - 1 KG Pack,10,1600,16000,000231,Sarah,Retail 
20/06/2025,000032,,delivery charges,1,5000,5000,000223,Sarah,Retail 
20/06/2025,000032,000011,Shark - 6 IN 1 PACK,10,2500,25000,000223,Sarah,Retail 
20/06/2025,000032,000003,Fig - 1Kg Pack,10,1700,17000,000223,Sarah,Retail 
20/06/2025,000056,,whole sales for may,2,10500000,21000000,000156,Sarah,Retail 
20/06/2025,000056,,retail sales for may,2,10250000,20500000,000156,Sarah,Retail 
20/06/2025,000056,,trading for may,2,13000000,26000000,000156,Sarah,Retail 
21/06/2025,000064,000019,ZALORA Dress,1,800000,800000,000216,Sarah,Wholesales
21/06/2025,000064,000008,Hot Chocolate - 1 Pack Ready Mix,1,800000,800000,000216,Sarah,Wholesales
7/5/2025,000080,,trading for may,1,13000000,13000000,000209,Sarah,Wholesales
7/5/2025,000080,,whole sales for may,1,10500000,10500000,000209,Sarah,Retail 
7/5/2025,000080,,retail sales for may,1,10250000,10250000,000209,Sarah,Retail 
7/8/2025,000106,000005,Apricots - 1 Kg Pack,1,1900,1900,000230,Van Sales 09,Retail 
7/8/2025,000107,000001,Raisin - 1Kg Pack,1,2300,2300,000234,Sarah,Retail 
7/8/2025,000108,000001,Raisin - 1Kg Pack,10,23000,230000,000234,Van Sales 09,Retail 
15/07/2025,000001,000001,Raisin - 1Kg Pack,1,2000,2000,000233,Ma Chaw Su,Retail 
15/07/2025,000109,000001,Raisin - 1Kg Pack,1,10000,10000,000233,Ma Chaw Su,Retail 
21/07/2025,000110,000005,Apricots - 1 Kg Pack,10000,1900,19000000,000232,Olivia,Retail 
21/07/2025,000110,000009,Rose Latte - 1 Pack Ready Mix,5000,2300,11500000,000232,Olivia,Retail 
23/07/2025,000001,,Debit note,1,8500,8500,000234,Sarah,Retail 
8/7/2025,000094,,sales,1,500,500,000234,Sarah,Retail 
8/8/2025,000111,000001,iPhone 16 Pro Max,1,4500000,4500000,000232,Sarah,Retail 
8/9/2025,000102,000001,Raisin - 1Kg Pack,1,9999500,9999500,000231,Sarah,Retail 
8/9/2025,000102,000087,SQL License (Enterprise),1,0,0,000231,Sarah,Retail 
8/9/2025,000112,,Sales invoice ,1,85000,85000,000231,Sarah,Retail 
8/10/2025,000079,000039,Repair Aircon/Phone Income - with Spare Parts,1,700000,700000,000010,Sarah,Retail 
8/10/2025,000079,000035,Iphone 11,1,2000000,2000000,000010,Sarah,Retail 
8/10/2025,000079,000067,"Samsung Smart TV 40""",10,600000,6000000,000010,Sarah,Retail 
8/11/2025,000113,,Other sales,1,10000000,10000000,000234,Sarah,Retail 
8/11/2025,000113,000001,iPhone 16 Pro Max,3,4500000,13500000,000234,Sarah,Retail 
8/12/2025,1,000003,samsung galaxy z fold 5,1,4000000,4000000,000001,Ma Chaw Su,Retail 
18/08/2025,000114,000001,iPhone 16 Pro Max,2,4500000,9000000,000001,Sarah,Retail 
19/08/2025,000115,000001,iPhone 16 Pro Max,1,4500000,4500000,000001,Sarah,Retail 
20/08/2025,000116,000001,iPhone 16 Pro Max,3,4500000,13500000,000001,Sarah,Wholesales
9/9/2025,000095,000008,Hot Chocolate - 1 Pack Ready Mix,2,35,70,000227,Sarah,Wholesales
17/09/2025,000096,000001,Raisin - 1Kg Pack,1,2300,2300,000229,Sarah,Wholesales
18/09/2025,000117,000005,Galaxy A56 5G 128GB,2,1500000,3000000,000001,Demo,Wholesales
18/09/2025,000118,,Sales for Sept,1,5200000,5200000,000001,Demo,Wholesales
19/09/2025,000119,000081,Water bottle 100 Lr,1,6500,6500,000001,Sarah,Wholesales
19/09/2025,000120,,sales ,1,60000,60000,000001,Dr. Tun,Wholesales
10/1/2025,000123,000001,iPhone 16 Pro Max,1,4500000,4500000,000001,May Zin,Wholesales
10/5/2025,000121,000001,iPhone 16 Pro Max,1,4500000,4500000,000001,May Zin,Wholesales
10/5/2025,000121,000008,iPhone 17 Air - sky blue,1,9000000,9000000,000001,May Zin,Wholesales
10/5/2025,000122,000001,iPhone 16 Pro Max,1,4500000,4500000,000001,May Zin,Wholesales
10/6/2025,000077,,sales order,1,600,600,000227,Sarah,Wholesales
10/6/2025,000078,,Japanese grammer (N3) This is book from xxxxx AB,1,80000,80000,000227,Sarah,Wholesales
11/9/2025,000075,000001,Raisin - 1Kg Pack,1,1.3,1.3,000228,Sarah,Wholesales
13/11/2025,000097,,ABCD ???????,1,500000,500000,000218,Sarah,Wholesales
12/1/2025,000088,000085,Angle ????????,16,20000,320000,000223,Olivia,Wholesales
12/5/2025,000098,000005,Apricots - 1 Kg Pack,2,7600,15200,000229,Sarah,Wholesales
14/12/2025,000081,000080,Shwe Ni,10,6000,60000,000224,Sarah,Wholesales
14/12/2025,000082,000081,ABC 001,8,6500,52000,000229,Olivia,Wholesales
23/12/2025,000099,000010,Espresso - 1 Pack Ready Mix ???????,1,2400,2400,000224,Sarah,Wholesales
29/12/2025,000101,000087,SQL License (Enterprise),1,100,100,000229,Sarah,Wholesales
29/12/2025,000101,000087,SQL License (Enterprise),1,200,200,000229,Sarah,Wholesales
30/12/2025,000100,000087,SQL License (Enterprise),1,85000,85000,000002,Sarah,Wholesales
31/12/2025,000087,,sales ,1,84425.25,84425.25,000227,Sarah,Wholesales
31/12/2025,000089,000085,Angle ????????,1,20000,20000,000221,Olivia,Wholesales
